unique_id,hurst_dim_0,series_length_dim_0,unitroot_pp_dim_0,unitroot_kpss_dim_0,hw_alpha_dim_0,hw_beta_dim_0,hw_gamma_dim_0,stability_dim_0,nperiods_dim_0,seasonal_period_dim_0,trend_dim_0,spike_dim_0,linearity_dim_0,curvature_dim_0,e_acf1_dim_0,e_acf10_dim_0,x_pacf5_dim_0,diff1x_pacf5_dim_0,diff2x_pacf5_dim_0,nonlinearity_dim_0,lumpiness_dim_0,alpha_dim_0,beta_dim_0,arch_acf_dim_0,garch_acf_dim_0,arch_r2_dim_0,garch_r2_dim_0,flat_spots_dim_0,entropy_dim_0,crossing_points_dim_0,arch_lm_dim_0,x_acf1_dim_0,x_acf10_dim_0,diff1_acf1_dim_0,diff1_acf10_dim_0,diff2_acf1_dim_0,diff2_acf10_dim_0
0,0.0,84.0,-75.84,1.1794944,0.0,0.0,0.0,0.17715132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15833,0.20133992,0.37590528,0.462342,0.4073082,0.101378754,0.101378754,0.0,0.0,0.0,0.0,59.0,0.88652605,13.0,0.66438955,0.06373359,0.2968906,-0.3100564,0.28699225,-0.53968376,0.49568707
1,0.0,84.0,-44.336456,0.39846095,0.0,0.0,0.0,0.0031888036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33083177,0.27885148,0.7032023,6.8616743,0.008134774,0.1858652,0.0,0.0,0.0,0.0,0.0,78.0,0.0,4.0,0.99876136,0.45409283,0.2272433,-0.15492958,0.20338227,-0.4054878,0.42606708
2,0.0,84.0,-92.515785,0.32996333,0.0,0.0,0.0,0.15023722,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04324238,0.5099639,1.0897789,0.0012640568,8.0917845,1.4901161e-08,1.1674284e-09,0.0,0.0,0.0,0.0,76.0,0.981577,4.0,0.9980505,-0.017444149,0.04044449,-0.60588235,0.42314878,-0.75457877,0.71281314
3,0.0,84.0,-57.21947,0.6498554,0.0,0.0,0.0,0.31134367,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17324321,0.3903384,0.81107056,1.8120613,1.910181,2.048962e-08,1.628409e-17,0.0,0.0,0.0,0.0,59.0,0.8774904,8.0,0.10516848,0.29117048,0.27633953,-0.30357143,0.34375,-0.510557,0.42597434
4,0.0,84.0,0.24833523,1.2332366,0.0,0.0,0.0,0.45999834,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7957507,0.43010125,0.6957618,2.9416876,0.15581806,0.21107958,0.21107958,0.0,0.0,0.0,0.0,63.0,0.61205065,17.0,0.9622644,0.8008254,3.064496,-0.42320693,0.60393894,-0.53244114,0.87009686
5,0.0,84.0,-72.37919,1.2567598,0.0,0.0,0.0,0.27398577,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27142867,0.62678987,1.1312412,1.7099415,1.194436,0.10102489,0.10102489,0.0,0.0,0.0,0.0,62.0,0.8300785,11.0,0.34372875,0.2179771,0.7121696,-0.54502356,0.5713872,-0.6346587,0.6852135
6,0.0,84.0,-18.61455,1.3417236,0.0,0.0,0.0,0.5951711,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.787812,0.6214423,1.1345512,0.67358226,0.29683286,0.15995947,0.15995947,0.0,0.0,0.0,0.0,56.0,0.6291739,11.0,0.7588125,0.679436,3.0937598,-0.5637265,0.5000301,-0.6765267,0.6047587
7,0.0,84.0,-98.856705,0.5496124,0.0,0.0,0.0,0.22030865,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1883728,0.67387503,1.1638073,0.0049329936,5.6272464,2.4200398e-08,1.2920086e-10,0.0,0.0,0.0,0.0,69.0,0.9218368,8.0,0.9429601,-0.037477955,0.25125062,-0.6666667,0.9097222,-0.8,1.2801563
8,0.0,84.0,-27.745674,0.9406662,0.0,0.0,0.0,0.2744306,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8748103,0.5226976,0.49963212,1.8459826,0.34542954,0.20505047,0.20505047,0.0,0.0,0.0,0.0,68.0,0.74368656,17.0,0.98933184,0.4747729,1.4995314,-0.60721475,0.6352086,-0.60989356,0.6631044
9,0.0,84.0,-5.2834187,0.982636,0.0,0.0,0.0,0.24914585,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67957765,0.39504156,0.6109861,3.7751482,0.14005654,0.276259,0.276259,0.0,0.0,0.0,0.0,66.0,0.6777511,11.0,0.98379916,0.7925524,2.1890876,-0.5848889,0.548674,-0.69573927,0.73506296
10,0.0,84.0,-70.569374,0.66057765,0.0,0.0,0.0,0.17621948,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06341133,0.52177155,1.0056316,0.057332657,6.692339,0.07331368,0.07331368,0.0,0.0,0.0,0.0,75.0,0.95406866,11.0,0.9999384,0.15979283,0.14020725,-0.41572803,0.26510245,-0.59681803,0.45347968
11,0.0,84.0,-59.621365,0.9554457,0.0,0.0,0.0,0.23116536,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53842616,0.91265154,1.4422904,1.687284,1.9158212,0.1791264,0.1791264,0.0,0.0,0.0,0.0,69.0,0.8039531,9.0,0.9993231,0.36163723,1.1600755,-0.7220748,0.6115078,-0.780097,0.73221403
12,0.0,84.0,-51.93381,0.7629706,0.0,0.0,0.0,0.10539706,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2967655,0.48605442,0.73789936,0.82706344,1.4966191,0.15544257,0.15544257,0.0,0.0,0.0,0.0,75.0,0.88861084,11.0,0.9859841,0.36313757,0.47867453,-0.37756225,0.3367321,-0.6112501,0.67900115
13,0.0,84.0,-20.626242,1.0469464,0.0,0.0,0.0,0.4485827,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70668674,0.2640518,0.6426043,1.408951,0.2718287,0.20595388,0.11810063,0.0,0.0,0.0,0.0,67.0,0.6828976,8.0,0.9122178,0.71111727,2.2722096,-0.47369727,0.5476744,-0.78764117,1.5040303
14,0.0,84.0,-64.315056,0.5283224,0.0,0.0,0.0,0.107298225,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446653,0.3336292,0.78851783,5.376188,2.3597865,1.4901161e-08,5.928322e-10,0.0,0.0,0.0,0.0,72.0,0.9074689,4.0,0.9728332,0.1952153,0.27609593,-0.35714287,0.43367347,-0.57894737,0.68767315
15,0.0,84.0,-83.19382,0.22608587,0.0,0.0,0.0,0.105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008194426,0.4913889,1.0471882,0.0,8.82,1.4901161e-08,2.4185567e-10,0.0,0.0,0.0,0.0,72.0,0.9927801,2.0,0.0025398291,-0.012191623,0.0016495989,-0.5,0.25,-0.6666667,0.4722222
16,0.0,84.0,-75.17946,1.036578,0.0,0.0,0.0,0.19003952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5259465,0.5682044,0.59152657,0.5511078,0.5719573,0.17371778,0.17371778,0.0,0.0,0.0,0.0,69.0,0.81115896,17.0,0.9977014,0.16733213,0.9373255,-0.5971011,0.72971904,-0.62612057,0.6515536
17,0.0,84.0,-22.824387,0.69892716,0.0,0.0,0.0,0.072721966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3873236,0.5164569,0.97171485,0.2944925,0.3530879,0.30007195,0.30007195,0.0,0.0,0.0,0.0,76.0,0.859947,5.0,0.96322095,0.40109035,0.68099165,-0.6508634,0.6957429,-0.79562515,0.9439243
18,0.0,84.0,-82.453354,0.9817038,0.0,0.0,0.0,0.10262374,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25545648,0.68218964,0.85875946,0.4571493,0.38023633,0.11009203,0.11009203,0.0,0.0,0.0,0.0,66.0,0.85475034,11.0,0.74563825,0.17271432,0.41370088,-0.71303296,1.015205,-0.7518759,1.1579486
19,0.0,84.0,-7.7714415,1.1864604,0.0,0.0,0.0,0.5494177,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85702,0.48394507,0.9221169,2.9491456,0.3777503,0.18531476,0.18531476,0.0,0.0,0.0,0.0,66.0,0.6343473,17.0,0.58742666,0.7829008,2.8615296,-0.1628829,0.5912595,-0.331968,0.7219532
20,0.0,84.0,-65.041725,0.7242533,0.0,0.0,0.0,0.3072389,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2230393,0.43070754,0.76737446,0.61016417,4.2228413,0.16752362,0.0,0.0,0.0,0.0,0.0,75.0,0.0,5.0,0.037326194,0.27081963,0.4662643,-0.474524,0.40219003,-0.60460615,0.5349769
21,0.0,84.0,-95.49077,0.5340344,0.0,0.0,0.0,0.085516706,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038099322,0.23729715,0.58154017,0.0037530493,1.9880435,1.4901161e-08,1.4901161e-08,0.0,0.0,0.0,0.0,65.0,0.0,7.0,0.009899426,-0.025223952,0.039839797,-0.45324042,0.24628748,-0.65522534,0.52176964
22,0.0,84.0,-90.000694,0.9253619,0.0,0.0,0.0,0.13775831,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115897246,0.22528008,0.47450942,0.6023071,0.6455546,0.119832665,0.119832665,0.0,0.0,0.0,0.0,54.0,0.90800333,11.0,0.78978205,0.0063624023,0.2351886,-0.39741394,0.31878844,-0.6386556,0.67392
23,0.0,84.0,0.7287887,1.101216,0.0,0.0,0.0,0.36918116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7865045,0.289495,0.90058506,0.16378668,0.11732987,0.25584495,0.25584495,0.0,0.0,0.0,0.0,67.0,0.61515903,5.0,0.9848231,0.85917264,2.919105,-0.35451907,0.53921807,-0.58624625,0.95561975
24,0.0,84.0,-32.225887,1.2795421,0.0,0.0,0.0,0.37291232,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61104065,0.7447384,1.2605283,1.6116763,0.40496722,0.16471328,0.16471328,0.0,0.0,0.0,0.0,56.0,0.7308235,13.0,0.76983696,0.47881958,1.9331142,-0.63475794,0.7386818,-0.7158504,0.90527403
25,0.0,84.0,-105.80294,0.8942217,0.0,0.0,0.0,0.07325768,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32642844,0.70083106,0.66754055,0.2387458,0.043811534,0.13846329,0.13846329,0.0,0.0,0.0,0.0,67.0,0.89123464,16.0,0.9843104,0.014927536,0.43843296,-0.743549,0.7715892,-0.7274522,0.70475733
26,0.0,84.0,-91.081955,0.8543324,0.0,0.0,0.0,0.5395016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5034444,0.87998587,1.4878019,2.5582542,2.1139283,0.120325185,4.650003e-15,0.0,0.0,0.0,0.0,60.0,0.80376434,14.0,0.78286177,0.13582714,0.7918312,-0.6340996,1.2380617,-0.6991182,1.4342
27,0.0,84.0,-73.214584,0.9053723,0.0,0.0,0.0,0.064166926,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615506,0.65852123,0.54590505,0.6705743,0.07485237,0.18718708,0.18718708,0.0,0.0,0.0,0.0,68.0,0.84183615,15.0,0.99048305,0.17276019,0.64445215,-0.52573377,0.6733092,-0.5428921,0.63947624
28,0.0,84.0,-33.05237,1.2452781,0.0,0.0,0.0,0.37918258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59346914,0.7611283,0.7613182,2.0558016,0.31087565,0.15668398,0.15668398,0.0,0.0,0.0,0.0,64.0,0.7373533,9.0,0.8468746,0.56097627,1.8303696,-0.5198573,0.89829314,-0.5574327,0.8660496
29,0.0,84.0,-78.30585,0.98413503,0.0,0.0,0.0,0.26571056,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7478451,1.184616,1.6867793,1.2938495,2.3885424,0.15945625,0.15945625,0.0,0.0,0.0,0.0,70.0,0.7894042,15.0,0.96704274,0.24433555,1.0885252,-0.73754114,0.83297,-0.7712007,0.85800505
30,0.0,84.0,-1.6476872,0.73116624,0.0,0.0,0.0,0.12629679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79070944,0.087814614,0.63818973,6.7418833,0.17168266,0.9119824,0.0,0.0,0.0,0.0,0.0,73.0,0.67222106,9.0,0.9951855,0.85226375,1.834471,-0.04766922,0.3348617,-0.38283736,0.61479616
31,0.0,84.0,-1.3557615,1.1295261,0.0,0.0,0.0,0.50988936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500219,0.28506094,0.88683707,0.27422145,0.24204615,0.689653,0.0,0.0,0.0,0.0,0.0,65.0,0.5581152,9.0,0.97534186,0.8946006,3.341182,-0.40814725,0.47383854,-0.7649281,1.1489449
32,0.0,84.0,-76.88177,0.685791,0.0,0.0,0.0,0.046968214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29391593,0.56346184,0.716232,0.6042226,0.23521914,0.14593765,0.14593765,0.0,0.0,0.0,0.0,70.0,0.8991536,8.0,0.9979318,0.18634383,0.4107818,-0.64772725,1.1887268,-0.79290545,1.5379705
33,0.0,84.0,-27.025364,1.2910792,0.0,0.0,0.0,0.75226915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8974909,0.6737964,1.1905569,0.23417851,0.36548343,0.28273496,2.0007306e-14,0.0,0.0,0.0,0.0,58.0,0.6209962,15.0,0.68551743,0.6350771,2.8563817,-0.5931407,0.82507074,-0.6821913,1.0389382
34,0.0,84.0,-55.586414,0.3819037,0.0,0.0,0.0,0.15882716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30149928,0.4553798,1.0624969,0.0,3.758454,1.6358385e-08,1.1901036e-17,0.0,0.0,0.0,0.0,69.0,0.9043897,4.0,0.33772507,0.30820104,0.29481432,-0.25,0.5,-0.4,0.55
35,0.0,84.0,-26.901266,0.9332788,0.0,0.0,0.0,0.20712504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5177334,0.5387883,1.1676412,0.7037159,0.82211465,0.21079803,0.21079803,0.0,0.0,0.0,0.0,70.0,0.7877312,37.0,0.9443444,0.55993706,1.3483437,-0.5697571,0.40106693,-0.7351198,0.6714589
36,0.0,84.0,-65.128876,1.3243506,0.0,0.0,0.0,0.5135524,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349876,0.6034125,1.1642107,1.3114258,2.2319098,0.07768955,2.8377516e-15,0.0,0.0,0.0,0.0,54.0,0.80634314,13.0,0.5006391,0.27429366,0.9123404,-0.5600914,0.68362516,-0.73843145,1.1431875
37,0.0,84.0,-54.765156,1.0326426,0.0,0.0,0.0,0.27994922,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23786066,0.4877483,0.7773352,1.7607101,1.0485187,0.122703545,0.0,0.0,0.0,0.0,0.0,66.0,0.87124085,11.0,0.9006561,0.32100978,0.6228655,-0.38051164,0.33375606,-0.59279424,0.68416226
38,0.0,84.0,32.357323,0.9206423,0.0,0.0,0.0,0.10857929,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28535613,0.09349356,0.20291758,0.69084805,0.045894057,0.3533141,0.3533141,0.0,0.0,0.0,0.0,70.0,0.88686275,13.0,0.9867652,0.39352533,0.6311162,-0.10915781,0.11091782,-0.39304113,0.33494592
39,0.0,84.0,-83.19382,0.169794,0.0,0.0,0.0,0.105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008194426,0.4913889,1.0471882,0.0,8.82,1.4901161e-08,9.056771e-10,0.0,0.0,0.0,0.0,65.0,0.9927801,2.0,0.0028169013,-0.012191623,0.0016495989,-0.5,0.25,-0.6666667,0.4722222
40,0.0,84.0,-54.36599,0.47991842,0.0,0.0,0.0,0.15882716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11895547,0.27120668,0.7570909,0.0,3.758454,1.4901163e-08,1.4980273e-09,0.0,0.0,0.0,0.0,68.0,0.90453917,4.0,0.6582006,0.30820104,0.20929818,-0.25,0.25,-0.5,0.41
41,0.0,84.0,-1.2101204,1.3949337,0.0,0.0,0.0,0.49184576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91457,0.39536107,0.93780524,1.4680792,0.107985124,0.4437113,0.060730882,0.0,0.0,0.0,0.0,58.0,0.5962898,5.0,0.95587426,0.8222961,3.1204822,-0.5140906,0.8284734,-0.74336606,1.3527623
42,0.0,84.0,-79.89962,0.9822974,0.0,0.0,0.0,0.10678404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2836903,0.8521244,0.8266058,0.1643887,0.2218049,0.16597502,0.16597502,0.0,0.0,0.0,0.0,58.0,0.87894946,35.0,0.9650802,0.19514138,0.56854707,-0.70099944,0.69714457,-0.72771466,0.7550509
43,0.0,84.0,-6.7580886,1.1825981,0.0,0.0,0.0,0.46383962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7886875,0.5593571,0.7332985,3.9317486,0.10454406,0.19395232,0.19395232,0.0,0.0,0.0,0.0,67.0,0.6535458,11.0,0.93173784,0.65484244,2.688648,-0.44757852,0.5994735,-0.55854523,0.87430465
44,0.0,84.0,-45.47426,1.3655013,0.0,0.0,0.0,0.4702708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5136876,0.80423224,1.1169189,1.3990163,0.8321478,0.1380312,0.1380312,0.0,0.0,0.0,0.0,36.0,0.7416359,21.0,0.7752156,0.4536879,1.784471,-0.576733,0.60157186,-0.69679457,0.88730294
